ID,Index1,Index2,Index3,Index4,Index5,Index6,Index7,Index8,Index9,Index10,Index11,Index12,Index13,Index14,Index15,Index16,Index17,Index18,Index19
206,0.017033583,,,,,,,,,,,,,,,,,,
207,0.008650548,,,,,,,,,,,,,,,,,,
208,0.004284268,,,,,,,,,,,,,,,,,,
209,0.003020864,,,,,,,,,,,,,,,,,,
210,0.013955062,,,,,,,,,,,,,,,,,,
211,-0.01427698,,,,,,,,,,,,,,,,,,
212,0.011999528,,,,,,,,,,,,,,,,,,
213,-0.004591313,,,,,,,,,,,,,,,,,,
214,0.02029206,,,,,,,,,,,,,,,,,,
215,-0.008347775,,,,,,,,,,,,,,,,,,
216,0.01082542,,,,,,,,,,,,,,,,,,
217,0.008000476,,,,,,,,,,,,,,,,,,
218,-0.021308002,,,,,,,,,,,,,,,,,,
219,0.007823105,,,,,,,,,,,,,,,,,,
220,0.017875191,,,,,,,,,,,,,,,,,,
221,0.00981753,,,,,,,,,,,,,,,,,,
222,0.003284402,,,,,,,,,,,,,,,,,,
223,0.022792034,,,,,,,,,,,,,,,,,,
224,-0.023071876,,,,,,,,,,,,,,,,,,
225,-0.044531329,,,,,,,,,,,,,,,,,,
226,0.025880844,,,,,,,,,,,,,,,,,,
227,0.006284726,,,,,,,,,,,,,,,,,,
228,-0.020401002,,,,,,,,,,,,,,,,,,
229,0.003653905,,,,,,,,,,,,,,,,,,
230,0.003827968,,,,,,,,,,,,,,,,,,
231,0.005805684,,,,,,,,,,,,,,,,,,
232,0.011114238,,,,,,,,,,,,,,,,,,
233,0.007932093,,,,,,,,,,,,,,,,,,
234,-0.002751874,,,,,,,,,,,,,,,,,,
235,-0.001766573,,,,,,,,,,,,,,,,,,
236,-0.001791749,,,,,,,,,,,,,,,,,,
237,0.006461731,,,,,,,,,,,,,,,,,,
238,0.011282656,,,,,,,,,,,,,,,,,,
239,0.016900705,,,,,,,,,,,,,,,,,,
240,0.003581571,,,,,,,,,,,,,,,,,,
241,0,,,,,,,,,,,,,,,,,,
242,0,,,,,,,,,,,,,,,,,,
243,0.008675264,,,,,,,,,,,,,,,,,,
244,-0.010670365,,,,,,,,,,,,,,,,,,
245,0.014185011,,,,,,,,,,,,,,,,,,
246,-0.004467025,,,,,,,,,,,,,,,,,,
247,-0.01267035,,,,,,,,,,,,,,,,,,
248,0.005693233,,,,,,,,,,,,,,,,,,
249,-0.001558,,,,,,,,,,,,,,,,,,
250,-9.18E-05,,,,,,,,,,,,,,,,,,
251,0.003516637,,,,,,,,,,,,,,,,,,
252,-0.004989069,,,,,,,,,,,,,,,,,,
253,0.00038192,,,,,,,,,,,,,,,,,,
254,0.004955646,,,,,,,,,,,,,,,,,,
255,0.00969351,,,,,,,,,,,,,,,,,,
256,0.011384124,,,,,,,,,,,,,,,,,,
257,-0.004367414,,,,,,,,,,,,,,,,,,
258,0.008198746,,,,,,,,,,,,,,,,,,
259,-0.001667546,,,,,,,,,,,,,,,,,,
260,0.007609466,,,,,,,,,,,,,,,,,,
261,0.003104077,,,,,,,,,,,,,,,,,,
262,0.010106221,,,,,,,,,,,,,,,,,,
263,0.004834272,,,,,,,,,,,,,,,,,,
264,-0.006512974,,,,,,,,,,,,,,,,,,
265,0.002960825,,,,,,,,,,,,,,,,,,
266,0.007934993,,,,,,,,,,,,,,,,,,
267,0.003349158,,,,,,,,,,,,,,,,,,
268,0.001190176,,,,,,,,,,,,,,,,,,
269,-0.011018109,,,,,,,,,,,,,,,,,,
270,-0.016681082,,,,,,,,,,,,,,,,,,
271,-0.007628404,,,,,,,,,,,,,,,,,,
272,0.007962335,,,,,,,,,,,,,,,,,,
273,-0.01546425,,,,,,,,,,,,,,,,,,
274,0.012212026,,,,,,,,,,,,,,,,,,
275,0.004220271,,,,,,,,,,,,,,,,,,
276,-0.00025242,,,,,,,,,,,,,,,,,,
277,0.010270043,,,,,,,,,,,,,,,,,,
278,0.006964044,,,,,,,,,,,,,,,,,,
279,0.000657361,,,,,,,,,,,,,,,,,,
280,0.01049098,,,,,,,,,,,,,,,,,,
281,0.008823032,,,,,,,,,,,,,,,,,,
